block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,162656.375000,292781469,0.616672,0.343483,0.000275,0.000000,0.000000,0.272639,1146339328,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,162705.953125,292870732,0.616454,0.343356,0.000274,0.000000,0.000000,0.272548,1146519808,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,162656.156250,292781078,0.616631,0.343462,0.000275,0.000000,0.000000,0.272619,1146290560,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,162710.421875,292878758,0.616410,0.343340,0.000275,0.000000,0.000000,0.272520,1146254464,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,162696.531250,292853760,0.616383,0.343327,0.000275,0.000000,0.000000,0.272507,1146189952,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,162776.140625,292997059,0.616157,0.343194,0.000274,0.000000,0.000000,0.272414,1146416512,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,162724.109375,292903385,0.616304,0.343282,0.000274,0.000000,0.000000,0.272473,1146246016,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,162834.234375,293101647,0.616145,0.343176,0.000274,0.000000,0.000000,0.272420,1146770560,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,162685.109375,292833182,0.616677,0.343491,0.000275,0.000000,0.000000,0.272637,1146199168,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,162716.890625,292890406,0.616684,0.343492,0.000275,0.000000,0.000000,0.272642,1146275200,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,162691.406250,292844539,0.617024,0.343683,0.000275,0.000000,0.000000,0.272791,1146228736,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,162718.296875,292892937,0.616925,0.343629,0.000275,0.000000,0.000000,0.272746,1146187648,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,162702.859375,292865143,0.616923,0.343631,0.000275,0.000000,0.000000,0.272742,1146093952,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,162733.015625,292919418,0.617043,0.343695,0.000275,0.000000,0.000000,0.272798,1146193408,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,162693.671875,292848597,0.616881,0.343601,0.000275,0.000000,0.000000,0.272731,1146317440,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,162712.203125,292881945,0.617009,0.343675,0.000275,0.000000,0.000000,0.272784,1146224128,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.020555,1837,0.012520,0.000000,0.000000,0.000000,0.000000,0.012520,128,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.254444,2258,0.009300,0.000000,0.000000,0.000000,0.000000,0.009300,128,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.979444,1763,0.009643,0.000000,0.000000,0.000000,0.000000,0.009643,128,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.646111,2963,0.009112,0.000000,0.000000,0.000000,0.000000,0.009112,128,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.059444,1907,0.013110,0.000000,0.000000,0.000000,0.000000,0.013110,128,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.463333,2634,0.012149,0.000000,0.000000,0.000000,0.000000,0.012149,128,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.515556,2728,0.011730,0.000000,0.000000,0.000000,0.000000,0.011730,128,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.534444,2762,0.009051,0.000000,0.000000,0.000000,0.000000,0.009051,128,
