block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,1355.582275,2440048,14725,800,26709,5251,26707,5253,94.847023,83.566956,85.771286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1355.051636,2439093,6922,5760,45062,15393,45186,15329,54.581295,74.603622,72.703735,
1,cube0,1368.500610,2463301,14725,800,26600,5251,26605,5247,94.847023,83.520401,85.739891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1368.028320,2462451,6922,5760,45178,15353,45070,15369,54.581295,74.603622,72.703735,
2,cube0,1366.507202,2459713,14724,801,26565,5252,26566,5251,94.840576,83.494675,85.719879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1365.995605,2458792,6922,5760,45104,15351,45144,15371,54.581295,74.603622,72.703735,
3,cube0,1372.312256,2470162,14725,800,26557,5252,26595,5246,94.847023,83.506676,85.730347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1371.747803,2469146,6922,5760,45158,15356,45090,15366,54.581295,74.603622,72.703735,
4,cube0,1374.817261,2474671,14724,801,26414,5269,26452,5229,94.840576,83.432236,85.677345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1374.379395,2473883,6922,5760,45182,15350,45066,15372,54.581295,74.603622,72.703735,
5,cube0,1355.810059,2440458,14725,800,26260,5259,26311,5239,94.847023,83.354736,85.624855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1355.232178,2439418,6922,5760,45091,15363,45157,15359,54.581295,74.603622,72.703735,
6,cube0,1359.963867,2447935,14725,800,26243,5262,26267,5236,94.847023,83.338623,85.613693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1359.517212,2447131,6922,5760,45125,15353,45123,15369,54.581295,74.603622,72.703735,
7,cube0,1377.321167,2479178,14725,800,26281,5225,26231,5273,94.847023,83.339149,85.614059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1376.734985,2478123,6922,5760,45145,15345,45103,15377,54.581295,74.603622,72.703735,
8,cube0,1387.153320,2496876,14725,800,26439,5230,26437,5268,94.847023,83.434845,85.680428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1386.579468,2495843,6922,5760,45150,15394,45098,15328,54.581295,74.603622,72.703735,
9,cube0,1375.427246,2475769,14723,801,26571,5260,26681,5238,94.840248,83.532547,85.746902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1374.950562,2474911,6922,5760,45060,15366,45188,15356,54.581295,74.603622,72.703735,
10,cube0,1382.152222,2487874,14725,800,26709,5239,26649,5264,94.847023,83.553345,85.761971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1381.637207,2486947,6922,5760,45102,15334,45146,15388,54.581295,74.603622,72.703735,
11,cube0,1368.911621,2464041,14725,800,26627,5255,26637,5244,94.847023,83.534340,85.749420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1368.515015,2463327,6922,5760,45164,15387,45084,15335,54.581295,74.603622,72.703735,
12,cube0,1353.270508,2435887,14724,801,26379,5235,26350,5263,94.840576,83.396332,85.652428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1352.781616,2435007,6922,5760,45189,15366,45059,15356,54.581295,74.603622,72.703735,
13,cube0,1358.609497,2445497,14725,800,26396,5245,26393,5253,94.847023,83.412079,85.664619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1358.204468,2444768,6921,5761,45151,15308,45097,15414,54.573410,74.603622,72.702988,
14,cube0,1360.515015,2448927,14725,800,26168,5254,26183,5244,94.847023,83.296471,85.584503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1359.981079,2447966,6922,5760,45062,15372,45186,15350,54.581295,74.603622,72.703735,
15,cube0,1349.751709,2429553,14725,800,26226,5246,26221,5252,94.847023,83.321945,85.602142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1349.188354,2428539,6922,5760,45146,15372,45102,15350,54.581295,74.603622,72.703735,
16,cube0,15.382778,27689,52,33,46,4,47,4,61.176472,92.079208,77.956985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.011666,23421,52,0,26,1,30,1,100.000000,96.551727,98.181816,
