block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146244.343750,263239823,21378,6528,1365556,26101,1365503,26120,76.607178,98.123756,97.910172,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146262.859375,263273155,21378,6528,1365519,26102,1365540,26119,76.607178,98.123756,97.910172,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146322.375000,263380282,21378,6528,1365505,26135,1365552,26088,76.607178,98.123688,97.910095,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146319.000000,263374191,21377,6529,1365531,26110,1365528,26111,76.603600,98.123756,97.910126,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146243.906250,263239020,21377,6529,1365477,26080,1365582,26141,76.603600,98.123756,97.910126,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146246.781250,263244211,21377,6529,1365616,26110,1365443,26111,76.603600,98.123756,97.910126,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146214.437500,263185979,21378,6528,1365528,26068,1365529,26155,76.607178,98.123688,97.910095,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146222.937500,263201301,21377,6529,1365570,26114,1365489,26107,76.603600,98.123756,97.910126,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146200.359375,263160639,21378,6528,1365589,26107,1365470,26114,76.607178,98.123756,97.910172,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146217.781250,263192005,21378,6528,1365486,26098,1365571,26125,76.607178,98.123688,97.910095,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146172.531250,263110545,21377,6529,1365542,26081,1365517,26140,76.603600,98.123756,97.910126,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146217.046875,263190686,21378,6528,1365569,26088,1365490,26133,76.607178,98.123756,97.910172,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146215.781250,263188418,21378,6528,1365536,26126,1365523,26095,76.607178,98.123756,97.910172,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146238.968750,263230140,21378,6528,1365515,26100,1365543,26122,76.607178,98.123718,97.910126,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146228.343750,263211029,21377,6529,1365547,26131,1365508,26094,76.603600,98.123619,97.909996,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146292.125000,263325829,21377,6529,1365499,26104,1365560,26117,76.603600,98.123756,97.910126,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.379444,2483,2,0,9,1,8,0,100.000000,94.444443,95.000000,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.110556,1999,2,0,6,1,11,0,100.000000,94.444443,95.000000,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.152222,2074,2,0,8,2,6,2,100.000000,77.777779,80.000000,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.445556,2602,2,0,7,1,10,0,100.000000,94.444443,95.000000,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.608333,2895,2,0,9,0,8,1,100.000000,94.444443,95.000000,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.697778,3056,2,0,8,1,9,0,100.000000,94.444443,95.000000,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.738889,3130,2,0,10,0,7,1,100.000000,94.444443,95.000000,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.750556,3151,2,0,7,1,10,0,100.000000,94.444443,95.000000,
