block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,162656.375000,292781469,26.237795,14.976204,0.240623,0.240623,
1,vector0,NA,NA,162705.953125,292870732,26.233932,14.974395,0.240549,0.240549,
2,vector0,NA,NA,162656.156250,292781078,26.236713,14.975480,0.240623,0.240623,
3,vector0,NA,NA,162710.421875,292878758,26.227135,14.969935,0.240543,0.240543,
4,vector0,NA,NA,162696.531250,292853760,26.227898,14.970227,0.240563,0.240563,
5,vector0,NA,NA,162776.140625,292997059,26.220255,14.966363,0.240446,0.240446,
6,vector0,NA,NA,162724.109375,292903385,26.224737,14.968547,0.240522,0.240522,
7,vector0,NA,NA,162834.234375,293101647,26.219002,14.966424,0.240360,0.240360,
8,vector0,NA,NA,162685.109375,292833182,26.229948,14.971419,0.240580,0.240580,
9,vector0,NA,NA,162716.890625,292890406,26.226570,14.969657,0.240533,0.240533,
10,vector0,NA,NA,162691.406250,292844539,26.229612,14.971292,0.240571,0.240571,
11,vector0,NA,NA,162718.296875,292892937,26.224337,14.968191,0.240531,0.240531,
12,vector0,NA,NA,162702.859375,292865143,26.224680,14.968181,0.240554,0.240554,
13,vector0,NA,NA,162733.015625,292919418,26.222097,14.966925,0.240509,0.240509,
14,vector0,NA,NA,162693.671875,292848597,26.231277,14.972437,0.240567,0.240567,
15,vector0,NA,NA,162712.203125,292881945,26.226154,14.969308,0.240540,0.240540,
16,vector0,NA,NA,1.020555,1837,0.000000,0.000000,0.000000,0.000000,
17,vector0,NA,NA,1.254444,2258,0.000000,0.000000,0.000000,0.000000,
18,vector0,NA,NA,0.979444,1763,0.000000,0.000000,0.000000,0.000000,
19,vector0,NA,NA,1.646111,2963,0.000000,0.000000,0.000000,0.000000,
20,vector0,NA,NA,1.059444,1907,0.000000,0.000000,0.000000,0.000000,
21,vector0,NA,NA,1.463333,2634,0.000000,0.000000,0.000000,0.000000,
22,vector0,NA,NA,1.515556,2728,0.000000,0.000000,0.000000,0.000000,
23,vector0,NA,NA,1.534444,2762,0.000000,0.000000,0.000000,0.000000,
