block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162656.375000,292781469,0.081802,2.039804,2.039808,0.081804,26257,0.031115,5341,0.004248,347904.750000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.046053,13952.000000,0.046479,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162705.953125,292870732,0.081777,2.039182,2.039187,0.081779,26257,0.031490,5341,0.004287,347904.750000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.045735,13952.000000,0.046464,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162656.156250,292781078,0.081802,2.039807,2.039811,0.081804,26257,0.031156,5341,0.004278,347904.750000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.046055,13952.000000,0.046479,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162710.421875,292878758,0.081775,2.039126,2.039131,0.081777,26257,0.031493,5341,0.004316,347904.750000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.045706,13952.000000,0.046463,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162696.531250,292853760,0.081782,2.039300,2.039305,0.081784,26257,0.031444,5341,0.004424,347904.750000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.045795,13952.000000,0.046467,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162776.140625,292997059,0.081742,2.038303,2.038307,0.081744,26257,0.031829,5341,0.004461,347904.750000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.045284,13952.000000,0.046444,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162724.109375,292903385,0.081768,2.038955,2.038959,0.081770,26257,0.031420,5341,0.004657,347904.750000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.045618,13952.000000,0.046459,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162834.234375,293101647,0.081713,2.037576,2.037580,0.081714,26257,0.031751,5341,0.004691,347904.750000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.044911,13952.000000,0.046428,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162685.109375,292833182,0.081788,2.039444,2.039448,0.081789,26257,0.030975,5341,0.004423,347904.750000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.045869,13952.000000,0.046470,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162716.890625,292890406,0.081772,2.039045,2.039050,0.081773,26257,0.030978,5341,0.004464,347904.750000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.045664,13952.000000,0.046461,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162691.406250,292844539,0.081785,2.039365,2.039369,0.081786,26257,0.030535,5341,0.004273,347904.750000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.045828,13952.000000,0.046469,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162718.296875,292892937,0.081771,2.039028,2.039032,0.081773,26257,0.030679,5341,0.004312,347904.750000,13952.250000,NA,NA,NA,NA,NA,NA,NA,NA,347904.000000,1.045655,13952.000000,0.046461,
