block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,cube0,1693.431152,3048176,0.082349,0.059476,0.049023,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,1693.006714,3047412,0.023640,0.023144,0.000497,0.000000,0.000000,0.072680,0.000000,0.000000,0.032036,
1,cube0,1692.796143,3047033,0.084372,0.059463,0.049042,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,1692.270508,3046087,0.023640,0.023144,0.000497,0.000000,0.000000,0.072680,0.000000,0.000000,0.032036,
2,cube0,1691.869995,3045366,0.085445,0.062960,0.052481,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,1691.380615,3044485,0.023640,0.023144,0.000497,0.000000,0.000000,0.072680,0.000000,0.000000,0.032042,
3,cube0,1695.266724,3051480,0.084355,0.061632,0.051195,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,1694.742188,3050536,0.023640,0.023144,0.000497,0.000000,0.000000,0.072680,0.000000,0.000000,0.032042,
4,cube0,1696.850586,3054331,0.083658,0.060400,0.050018,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,1696.401123,3053522,0.023640,0.023144,0.000497,0.000000,0.000000,0.072680,0.000000,0.000000,0.032043,
5,cube0,1688.025513,3038446,0.082687,0.059881,0.049496,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,1687.510010,3037518,0.023640,0.023144,0.000497,0.000000,0.000000,0.072680,0.000000,0.000000,0.032043,
6,cube0,1692.835571,3047104,0.083441,0.060189,0.049814,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,1692.376099,3046277,0.023640,0.023144,0.000497,0.000000,0.000000,0.072680,0.000000,0.000000,0.032048,
7,cube0,1707.743896,3073939,0.085391,0.061714,0.051311,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,1707.196655,3072954,0.023640,0.023144,0.000497,0.000000,0.000000,0.072680,0.000000,0.000000,0.032042,
8,cube0,1720.276123,3096497,0.086842,0.063668,0.053197,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,1719.655518,3095380,0.023640,0.023144,0.000497,0.000000,0.000000,0.072680,0.000000,0.000000,0.032044,
9,cube0,1708.069946,3074526,0.086269,0.062985,0.052570,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,1707.586670,3073656,0.023640,0.023144,0.000497,0.000000,0.000000,0.072680,0.000000,0.000000,0.032044,
10,cube0,1714.390503,3085903,0.084913,0.062851,0.052435,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,1713.839966,3084912,0.023640,0.023144,0.000497,0.000000,0.000000,0.072680,0.000000,0.000000,0.032043,
11,cube0,1689.387817,3040898,0.083674,0.061494,0.051080,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,1688.876709,3039978,0.023640,0.023144,0.000497,0.000000,0.000000,0.072680,0.000000,0.000000,0.032043,
12,cube0,1691.265015,3044277,0.082987,0.060354,0.049983,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,1690.773926,3043393,0.023640,0.023144,0.000497,0.000000,0.000000,0.072680,0.000000,0.000000,0.032042,
13,cube0,1702.568848,3064624,0.083672,0.061236,0.050874,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
