block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,cube0,1693.431152,3048176,0.030712,0.030712,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1693.006714,3047412,0.500866,0.272809,0.015156,0.000000,0.000000,0.197745,17382528,
1,cube0,1692.796143,3047033,0.030773,0.030773,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1692.270508,3046087,0.497295,0.270864,0.015048,0.000000,0.000000,0.196335,17382528,
2,cube0,1691.869995,3045366,0.031028,0.031028,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1691.380615,3044485,0.504200,0.274625,0.015257,0.000000,0.000000,0.199061,17382528,
3,cube0,1695.266724,3051480,0.030834,0.030834,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1694.742188,3050536,0.504493,0.274784,0.015266,0.000000,0.000000,0.199177,17382528,
4,cube0,1696.850586,3054331,0.030975,0.030975,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1696.401123,3053522,0.505156,0.275146,0.015286,0.000000,0.000000,0.199439,17382528,
5,cube0,1688.025513,3038446,0.030571,0.030571,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1687.510010,3037518,0.502083,0.273471,0.015193,0.000000,0.000000,0.198225,17382528,
6,cube0,1692.835571,3047104,0.030758,0.030758,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1692.376099,3046277,0.504423,0.274746,0.015264,0.000000,0.000000,0.199149,17382528,
7,cube0,1707.743896,3073939,0.030907,0.030907,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
