block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aic_mte1_active_bw(GB/s),aic_mte2_active_bw(GB/s),
0,cube0,1693.431152,3048176,52.885555,0.030712,1659.212280,0.963538,37.023888,0.021501,94.873337,0.055095,0.316667,0.000184,310.195129,129.269440,0.075069,56.658546,0.000221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1693.006714,3047412,862.491638,0.500866,468.991669,0.272353,223.151672,0.129589,64.549355,106.883331,0.062069,56.051601,0.000000,NA,NA,
1,cube0,1692.796143,3047033,52.991112,0.030773,1658.528320,0.963141,37.047222,0.021514,94.556664,0.054911,0.660000,0.000383,148.830978,129.131668,0.074989,56.718998,0.000228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1692.270508,3046087,856.342773,0.497295,466.057220,0.270649,225.306107,0.130840,63.932121,109.151665,0.063387,54.886768,0.000000,NA,NA,
2,cube0,1691.869995,3045366,53.430557,0.031028,1659.469971,0.963688,37.215557,0.021612,101.746666,0.059086,0.208889,0.000121,470.242615,135.111664,0.078462,54.208637,0.000242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1691.380615,3044485,868.232788,0.504200,472.730011,0.274524,211.389450,0.122758,68.141037,104.320557,0.060581,57.428589,0.000000,NA,NA,
3,cube0,1695.266724,3051480,53.096668,0.030834,1659.305542,0.963592,37.446110,0.021746,99.567780,0.057821,0.274444,0.000159,357.917450,132.603882,0.077006,55.233818,0.000215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1694.742188,3050536,868.736694,0.504493,475.139435,0.275923,213.063889,0.123730,67.605522,105.806664,0.061444,56.621971,0.000000,NA,NA,
4,cube0,1696.850586,3054331,53.339443,0.030975,1665.245605,0.967042,37.380554,0.021708,97.219444,0.056457,0.202778,0.000118,484.414307,130.743896,0.075926,56.019585,0.000247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1696.401123,3053522,869.879456,0.505156,479.068878,0.278205,213.151672,0.123781,67.577682,104.776665,0.060846,57.178589,0.000000,NA,NA,
