block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,cube0,1693.431152,3048176,14724,801,28293,5251,28293,5252,94.840576,84.344673,86.317093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1693.006714,3047412,6921,5761,45165,15351,45083,15371,54.573410,74.603622,72.702988,
1,cube0,1692.796143,3047033,14724,801,28326,5237,28301,5261,94.840576,84.360519,86.329102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1692.270508,3046087,6921,5761,45055,15400,45193,15322,54.573410,74.603622,72.702988,
2,cube0,1691.869995,3045366,14723,802,27952,5251,27954,5250,94.834137,84.186905,86.204414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1691.380615,3044485,6921,5761,45075,15396,45173,15326,54.573410,74.603622,72.702988,
3,cube0,1695.266724,3051480,14724,801,28605,5294,28697,5204,94.840576,84.516228,86.439842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1694.742188,3050536,6921,5761,45043,15370,45205,15352,54.573410,74.603622,72.702988,
4,cube0,1696.850586,3054331,14724,801,27770,5252,27604,5246,94.840576,84.063034,86.118652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1696.401123,3053522,6922,5760,45136,15323,45112,15399,54.581295,74.603622,72.703735,
5,cube0,1688.025513,3038446,14723,802,28141,5230,28105,5268,94.834137,84.271248,86.264572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1687.510010,3037518,6921,5761,45115,15397,45132,15326,54.573410,74.602791,72.702240,
6,cube0,1692.835571,3047104,14725,800,27623,5261,27700,5237,94.847023,84.050682,86.111183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1692.376099,3046277,6921,5761,45172,15315,45076,15407,54.573410,74.603622,72.702988,
7,cube0,1707.743896,3073939,14725,800,28189,5228,28134,5270,94.847023,84.289368,86.279846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1707.196655,3072954,6921,5761,45103,15407,45145,15315,54.573410,74.603622,72.702988,
8,cube0,1720.276123,3096497,14724,801,27843,5235,27818,5265,94.840576,84.129623,86.165314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1719.655518,3095380,6922,5760,45129,15363,45119,15359,54.581295,74.603622,72.703735,
9,cube0,1708.069946,3074526,14723,801,27973,5295,27904,5203,94.840248,84.183807,86.203735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1707.586670,3073656,6921,5761,45110,15361,45138,15361,54.573410,74.603622,72.702988,
