block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,1355.582275,2440048,7.027067,2.635150,28.108269,3.513534,5.270300,10.540601,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1355.051636,2439093,
1,cube0,1368.500610,2463301,7.027067,2.635150,28.108269,3.513534,5.270300,10.540601,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1368.028320,2462451,
2,cube0,1366.507202,2459713,7.027067,2.635150,28.108269,3.513534,5.270300,10.540601,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1365.995605,2458792,
3,cube0,1372.312256,2470162,7.027067,2.635150,28.108269,3.513534,5.270300,10.540601,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1371.747803,2469146,
4,cube0,1374.817261,2474671,7.027067,2.635150,28.108269,3.513534,5.270300,10.540601,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1374.379395,2473883,
5,cube0,1355.810059,2440458,7.027067,2.635150,28.108269,3.513534,5.270300,10.540601,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1355.232178,2439418,
6,cube0,1359.963867,2447935,7.027067,2.635150,28.108269,3.513534,5.270300,10.540601,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1359.517212,2447131,
7,cube0,1377.321167,2479178,7.027067,2.635150,28.108269,3.513534,5.270300,10.540601,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1376.734985,2478123,
8,cube0,1387.153320,2496876,7.027067,2.635150,28.108269,3.513534,5.270300,10.540601,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1386.579468,2495843,
9,cube0,1375.427246,2475769,7.027067,2.635150,28.108269,3.513534,5.270300,10.540601,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1374.950562,2474911,
10,cube0,1382.152222,2487874,7.027067,2.635150,28.108269,3.513534,5.270300,10.540601,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1381.637207,2486947,
11,cube0,1368.911621,2464041,7.027067,2.635150,28.108269,3.513534,5.270300,10.540601,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1368.515015,2463327,
12,cube0,1353.270508,2435887,7.027067,2.635150,28.108269,3.513534,5.270300,10.540601,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1352.781616,2435007,
13,cube0,1358.609497,2445497,7.027067,2.635150,28.108269,3.513534,5.270300,10.540601,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1358.204468,2444768,
14,cube0,1360.515015,2448927,7.027067,2.635150,28.108269,3.513534,5.270300,10.540601,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1359.981079,2447966,
15,cube0,1349.751709,2429553,7.027067,2.635150,28.108269,3.513534,5.270300,10.540601,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1349.188354,2428539,
16,cube0,15.382778,27689,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,13.011666,23421,
17,cube0,18.646111,33563,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,13.430000,24174,
18,cube0,20.403889,36727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.752222,26554,
19,cube0,20.219999,36396,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.310000,25758,
20,cube0,16.539444,29771,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,13.876667,24978,
21,cube0,18.523333,33342,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,13.385000,24093,
22,cube0,19.268333,34683,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,13.673333,24612,
23,cube0,19.926111,35867,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,15.204445,27368,
