block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,162656.375000,292781469,0.017260,0.017256,0.000004,0.000000,0.000000,0.183793,0.000000,0.000000,0.081247,
1,vector0,NA,NA,NA,NA,NA,NA,162705.953125,292870732,0.017258,0.017254,0.000004,0.000000,0.000000,0.183737,0.000000,0.000000,0.081222,
2,vector0,NA,NA,NA,NA,NA,NA,162656.156250,292781078,0.017260,0.017256,0.000004,0.000000,0.000000,0.183793,0.000000,0.000000,0.081247,
3,vector0,NA,NA,NA,NA,NA,NA,162710.421875,292878758,0.017253,0.017249,0.000004,0.000000,0.000000,0.183732,0.000000,0.000000,0.081220,
4,vector0,NA,NA,NA,NA,NA,NA,162696.531250,292853760,0.017253,0.017250,0.000004,0.000000,0.000000,0.183748,0.000000,0.000000,0.081227,
5,vector0,NA,NA,NA,NA,NA,NA,162776.140625,292997059,0.017249,0.017245,0.000004,0.000000,0.000000,0.183658,0.000000,0.000000,0.081187,
6,vector0,NA,NA,NA,NA,NA,NA,162724.109375,292903385,0.017252,0.017248,0.000004,0.000000,0.000000,0.183717,0.000000,0.000000,0.081213,
7,vector0,NA,NA,NA,NA,NA,NA,162834.234375,293101647,0.017249,0.017245,0.000004,0.000000,0.000000,0.183592,0.000000,0.000000,0.081158,
8,vector0,NA,NA,NA,NA,NA,NA,162685.109375,292833182,0.017255,0.017251,0.000004,0.000000,0.000000,0.183761,0.000000,0.000000,0.081232,
9,vector0,NA,NA,NA,NA,NA,NA,162716.890625,292890406,0.017253,0.017249,0.000004,0.000000,0.000000,0.183725,0.000000,0.000000,0.081216,
10,vector0,NA,NA,NA,NA,NA,NA,162691.406250,292844539,0.017255,0.017251,0.000004,0.000000,0.000000,0.183753,0.000000,0.000000,0.081229,
11,vector0,NA,NA,NA,NA,NA,NA,162718.296875,292892937,0.017251,0.017247,0.000004,0.000000,0.000000,0.183723,0.000000,0.000000,0.081216,
12,vector0,NA,NA,NA,NA,NA,NA,162702.859375,292865143,0.017251,0.017247,0.000004,0.000000,0.000000,0.183741,0.000000,0.000000,0.081223,
13,vector0,NA,NA,NA,NA,NA,NA,162733.015625,292919418,0.017250,0.017246,0.000004,0.000000,0.000000,0.183706,0.000000,0.000000,0.081208,
14,vector0,NA,NA,NA,NA,NA,NA,162693.671875,292848597,0.017256,0.017252,0.000004,0.000000,0.000000,0.183751,0.000000,0.000000,0.081228,
15,vector0,NA,NA,NA,NA,NA,NA,162712.203125,292881945,0.017252,0.017248,0.000004,0.000000,0.000000,0.183730,0.000000,0.000000,0.081219,
16,vector0,NA,NA,NA,NA,NA,NA,1.020555,1837,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
17,vector0,NA,NA,NA,NA,NA,NA,1.254444,2258,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
18,vector0,NA,NA,NA,NA,NA,NA,0.979444,1763,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
19,vector0,NA,NA,NA,NA,NA,NA,1.646111,2963,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
20,vector0,NA,NA,NA,NA,NA,NA,1.059444,1907,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
21,vector0,NA,NA,NA,NA,NA,NA,1.463333,2634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
22,vector0,NA,NA,NA,NA,NA,NA,1.515556,2728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
23,vector0,NA,NA,NA,NA,NA,NA,1.534444,2762,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
