block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146173.281250,263111921,0.607149,0.337803,0.000270,0.000000,0.000000,0.268805,1147150464,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146171.859375,263109366,0.607161,0.337813,0.000270,0.000000,0.000000,0.268807,1147044864,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146193.406250,263148135,0.607221,0.337839,0.000270,0.000000,0.000000,0.268842,1147290240,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146163.921875,263095080,0.607147,0.337806,0.000270,0.000000,0.000000,0.268801,1147034880,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146223.187500,263201743,0.606859,0.337642,0.000270,0.000000,0.000000,0.268677,1147141248,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146237.843750,263228125,0.606942,0.337680,0.000270,0.000000,0.000000,0.268722,1147430400,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146253.718750,263256685,0.606851,0.337637,0.000270,0.000000,0.000000,0.268674,1147179648,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146237.765625,263227965,0.606881,0.337652,0.000270,0.000000,0.000000,0.268689,1147226496,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146186.546875,263135788,0.607410,0.337953,0.000270,0.000000,0.000000,0.268917,1147019520,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146223.640625,263202560,0.607229,0.337847,0.000270,0.000000,0.000000,0.268842,1147189248,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146199.218750,263158591,0.607680,0.338105,0.000270,0.000000,0.000000,0.269035,1146968832,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146239.390625,263230911,0.607623,0.338064,0.000270,0.000000,0.000000,0.269019,1147256832,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146235.734375,263224325,0.607603,0.338053,0.000270,0.000000,0.000000,0.269009,1147244928,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146246.906250,263244435,0.607435,0.337964,0.000270,0.000000,0.000000,0.268930,1147096704,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146200.812500,263161475,0.607648,0.338078,0.000270,0.000000,0.000000,0.269030,1147263744,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146214.750000,263186543,0.607389,0.337940,0.000270,0.000000,0.000000,0.268909,1147059840,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.251111,2252,0.014654,0.000000,0.000000,0.000000,0.000000,0.014654,128,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.474444,2654,0.010173,0.000000,0.000000,0.000000,0.000000,0.010173,128,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.100556,1981,0.010096,0.000000,0.000000,0.000000,0.000000,0.010096,128,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.251111,2252,0.009769,0.000000,0.000000,0.000000,0.000000,0.009769,128,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.294444,2330,0.015021,0.000000,0.000000,0.000000,0.000000,0.015021,128,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.598889,2878,0.013551,0.000000,0.000000,0.000000,0.000000,0.013551,128,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.647222,2965,0.011467,0.000000,0.000000,0.000000,0.000000,0.011467,128,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.129444,3833,0.010175,0.000000,0.000000,0.000000,0.000000,0.010175,128,
