block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,1693.431152,3048176,5.668103,2.125539,22.672411,2.834051,4.251077,8.502154,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1693.006714,3047412,
1,cube0,1692.796143,3047033,5.668103,2.125539,22.672411,2.834051,4.251077,8.502154,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1692.270508,3046087,
2,cube0,1691.869995,3045366,5.668103,2.125539,22.672411,2.834051,4.251077,8.502154,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1691.380615,3044485,
3,cube0,1695.266724,3051480,5.668103,2.125539,22.672411,2.834051,4.251077,8.502154,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1694.742188,3050536,
4,cube0,1696.850586,3054331,5.668103,2.125539,22.672411,2.834051,4.251077,8.502154,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1696.401123,3053522,
5,cube0,1688.025513,3038446,5.668103,2.125539,22.672411,2.834051,4.251077,8.502154,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1687.510010,3037518,
6,cube0,1692.835571,3047104,5.668103,2.125539,22.672411,2.834051,4.251077,8.502154,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1692.376099,3046277,
7,cube0,1707.743896,3073939,5.668103,2.125539,22.672411,2.834051,4.251077,8.502154,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1707.196655,3072954,
8,cube0,1720.276123,3096497,5.668103,2.125539,22.672411,2.834051,4.251077,8.502154,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1719.655518,3095380,
9,cube0,1708.069946,3074526,5.668103,2.125539,22.672411,2.834051,4.251077,8.502154,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1707.586670,3073656,
10,cube0,1714.390503,3085903,5.668103,2.125539,22.672411,2.834051,4.251077,8.502154,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1713.839966,3084912,
11,cube0,1689.387817,3040898,5.668103,2.125539,22.672411,2.834051,4.251077,8.502154,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1688.876709,3039978,
12,cube0,1691.265015,3044277,5.668103,2.125539,22.672411,2.834051,4.251077,8.502154,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1690.773926,3043393,
13,cube0,1702.568848,3064624,5.668103,2.125539,22.672411,2.834051,4.251077,8.502154,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1702.071655,3063729,
14,cube0,1685.575562,3034036,5.668103,2.125539,22.672411,2.834051,4.251077,8.502154,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1685.094482,3033170,
15,cube0,1680.712769,3025283,5.668103,2.125539,22.672411,2.834051,4.251077,8.502154,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1680.351074,3024632,
16,cube0,15.593889,28069,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,13.549444,24389,
17,cube0,17.188334,30939,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,12.532778,22559,
18,cube0,20.006111,36011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,13.872778,24971,
19,cube0,20.564444,37016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,15.222222,27400,
20,cube0,17.800556,32041,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,12.986667,23376,
21,cube0,19.451666,35013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.286111,25715,
22,cube0,20.105556,36190,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.028334,25251,
23,cube0,20.140556,36253,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.662778,26393,
