block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,cube0,1693.431152,3048176,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,1693.006714,3047412,41.015697,28.340513,0.044282,0.048261,
1,cube0,1692.796143,3047033,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,1692.270508,3046087,41.015697,28.340513,0.044282,0.048261,
2,cube0,1691.869995,3045366,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,1691.380615,3044485,41.015697,28.340513,0.044282,0.048261,
3,cube0,1695.266724,3051480,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,1694.742188,3050536,41.015697,28.340513,0.044282,0.048261,
4,cube0,1696.850586,3054331,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,1696.401123,3053522,41.015697,28.340513,0.044282,0.048261,
5,cube0,1688.025513,3038446,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,1687.510010,3037518,41.015697,28.340513,0.044282,0.048261,
6,cube0,1692.835571,3047104,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,1692.376099,3046277,41.015697,28.340513,0.044282,0.048261,
7,cube0,1707.743896,3073939,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,1707.196655,3072954,41.015697,28.340513,0.044282,0.048261,
8,cube0,1720.276123,3096497,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,1719.655518,3095380,41.015697,28.340513,0.044282,0.048261,
9,cube0,1708.069946,3074526,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,1707.586670,3073656,41.015697,28.340513,0.044282,0.048261,
10,cube0,1714.390503,3085903,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,1713.839966,3084912,41.015697,28.340513,0.044282,0.048261,
11,cube0,1689.387817,3040898,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,1688.876709,3039978,41.015697,28.340513,0.044282,0.048261,
12,cube0,1691.265015,3044277,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,1690.773926,3043393,41.015697,28.340513,0.044282,0.048261,
13,cube0,1702.568848,3064624,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,1702.071655,3063729,41.015697,28.340513,0.044282,0.048261,
14,cube0,1685.575562,3034036,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,1685.094482,3033170,41.015697,28.340513,0.044282,0.048261,
15,cube0,1680.712769,3025283,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,1680.351074,3024632,41.015697,28.340513,0.044282,0.048261,
16,cube0,15.593889,28069,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,13.549444,24389,0.000000,0.000000,0.000000,0.000000,
17,cube0,17.188334,30939,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,12.532778,22559,0.000000,0.000000,0.000000,0.000000,
18,cube0,20.006111,36011,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,13.872778,24971,0.000000,0.000000,0.000000,0.000000,
19,cube0,20.564444,37016,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,15.222222,27400,0.000000,0.000000,0.000000,0.000000,
20,cube0,17.800556,32041,NA,NA,NA,NA,NA,NA,
20,vector0,NA,NA,12.986667,23376,0.000000,0.000000,0.000000,0.000000,
21,cube0,19.451666,35013,NA,NA,NA,NA,NA,NA,
21,vector0,NA,NA,14.286111,25715,0.000000,0.000000,0.000000,0.000000,
22,cube0,20.105556,36190,NA,NA,NA,NA,NA,NA,
22,vector0,NA,NA,14.028334,25251,0.000000,0.000000,0.000000,0.000000,
23,cube0,20.140556,36253,NA,NA,NA,NA,NA,NA,
23,vector0,NA,NA,14.662778,26393,0.000000,0.000000,0.000000,0.000000,
