block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,cube0,1112.943848,2003299,0.127105,0.090798,0.074708,0.000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,1112.437256,2002387,0.062696,0.048440,0.014256,0.000000,0.000000,0.026032,0.000000,0.000000,0.000978,
1,cube0,1118.276123,2012897,0.129906,0.092475,0.076449,0.000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,1117.747803,2011946,0.062696,0.048440,0.014256,0.000000,0.000000,0.026032,0.000000,0.000000,0.000977,
2,cube0,1090.786621,1963416,0.131650,0.096814,0.080697,0.000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,1090.335571,1962604,0.062696,0.048440,0.014256,0.000000,0.000000,0.026032,0.000000,0.000000,0.000964,
3,cube0,1091.725586,1965106,0.143239,0.104247,0.088208,0.000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,1091.281128,1964306,0.062696,0.048440,0.014256,0.000000,0.000000,0.026032,0.000000,0.000000,0.000975,
4,cube0,1086.612183,1955902,0.141548,0.101662,0.085687,0.000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,1086.203857,1955167,0.062696,0.048440,0.014256,0.000000,0.000000,0.026032,0.000000,0.000000,0.000975,
5,cube0,1089.466675,1961040,0.134979,0.098496,0.082534,0.000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,1088.958862,1960126,0.062696,0.048440,0.014256,0.000000,0.000000,0.026032,0.000000,0.000000,0.000977,
6,cube0,1088.236084,1958825,0.133902,0.099108,0.083143,0.000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,1087.704956,1957869,0.062696,0.048440,0.014256,0.000000,0.000000,0.026032,0.000000,0.000000,0.000975,
