block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146220.437500,263196808,21378,6528,1365460,26157,1365557,26064,76.607178,98.123734,97.910133,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146250.468750,263250849,21378,6528,1365520,26101,1365495,26122,76.607178,98.123665,97.910065,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146187.890625,263138193,21378,6528,1365550,26068,1365467,26153,76.607178,98.123734,97.910133,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146214.453125,263186020,21378,6528,1365499,26121,1365518,26100,76.607178,98.123734,97.910133,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146189.203125,263140575,21378,6528,1365478,26121,1365539,26100,76.607178,98.123734,97.910133,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146204.359375,263167853,21377,6529,1365542,26097,1365475,26124,76.603600,98.123734,97.910103,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146216.468750,263189625,21378,6528,1365532,26072,1365485,26149,76.607178,98.123734,97.910133,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146224.437500,263203993,21378,6528,1365500,26134,1365517,26087,76.607178,98.123734,97.910133,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146238.984375,263230184,21378,6528,1365540,26084,1365477,26137,76.607178,98.123734,97.910133,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146233.937500,263221088,21378,6528,1365479,26135,1365538,26086,76.607178,98.123734,97.910133,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146193.281250,263147910,21378,6528,1365423,26150,1365594,26071,76.607178,98.123734,97.910133,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146227.531250,263209569,21378,6528,1365540,26125,1365477,26096,76.607178,98.123734,97.910133,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146212.656250,263182777,21378,6528,1365508,26106,1365509,26115,76.607178,98.123734,97.910133,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146242.671875,263236811,21378,6528,1365540,26084,1365477,26137,76.607178,98.123734,97.910133,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146238.250000,263228845,21378,6528,1365543,26113,1365474,26108,76.607178,98.123734,97.910133,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146263.468750,263274248,21378,6528,1365488,26094,1365529,26127,76.607178,98.123734,97.910133,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.393889,2509,2,0,0,1,5,0,100.000000,83.333336,87.500000,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.635556,2944,2,0,4,1,1,0,100.000000,83.333336,87.500000,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.139444,2051,2,0,3,1,2,0,100.000000,83.333336,87.500000,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.399444,2519,2,0,2,0,2,2,100.000000,66.666664,75.000000,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.315556,2368,2,0,1,1,4,0,100.000000,83.333336,87.500000,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.721667,3099,2,0,4,0,1,1,100.000000,83.333336,87.500000,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.768333,3183,2,0,4,0,1,1,100.000000,83.333336,87.500000,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.780556,3205,2,0,2,0,3,1,100.000000,83.333336,87.500000,
