iter,description,e2e_best,e2e_mean,correct
101,enableInit_true,126.62,82.89,YES
102,enableGetTensorC_true,125.31,81.88,YES
103,enableQuantVector_true,124.86,80.28,YES
104,enableSetDefineData_true,142.51,91.28,YES
105,ITERATE_MODE_NORMAL,127.18,90.14,YES
106,no_enableSetOrgShape,126.50,79.04,YES
107,enableSetBias_true,121.53,78.48,YES
108,ITERATE_MODE_DEFAULT,123.08,80.00,YES
109,stepKa_1,135.94,89.14,YES
110,stepKb_1,135.89,86.38,YES
111,stepKa4_stepKb4,127.47,79.33,YES
112,depthA1_1_B1_1,129.29,85.08,YES
113,depthA1_16,137.72,86.37,YES
114,depthB1_16,124.31,82.78,YES
115,8cores_baseN128,124.01,80.74,YES
116,16cores_baseN64,120.55,76.45,YES
117,baseK_32,121.47,77.32,YES
118,baseM_16,130.06,83.70,YES
119,baseM_128_N_64,TIMEOUT,N/A,NO
120,verify_current_120,129.87,84.44,YES
121,verify_121,118.30,75.29,YES
122,verify_122,125.02,81.36,YES
123,verify_123,126.17,83.09,YES
124,verify_124,118.95,76.42,YES
125,verify_125,135.34,87.40,YES
126,verify_126,128.90,92.88,YES
127,verify_127,123.65,82.08,YES
128,verify_128,120.58,78.21,YES
129,verify_129,120.06,77.34,YES
130,verify_130,134.28,90.83,YES
131,verify_131,156.05,104.21,YES
132,verify_132,130.93,87.84,YES
133,verify_133,122.76,79.92,YES
134,verify_134,116.86,77.07,YES
135,verify_135,122.12,78.91,YES
136,verify_136,126.22,85.54,YES
137,verify_137,135.01,91.76,YES
138,verify_138,131.76,85.42,YES
139,verify_139,130.25,90.32,YES
140,verify_140,127.01,82.83,YES
141,verify_141,137.53,90.85,YES
142,verify_142,124.93,78.11,YES
143,verify_143,123.18,79.30,YES
144,verify_144,129.73,87.34,YES
145,verify_145,127.62,84.13,YES
146,verify_146,128.53,82.39,YES
147,verify_147,130.86,87.47,YES
148,verify_148,119.46,77.93,YES
149,verify_149,118.98,75.98,YES
150,verify_150,123.06,77.97,YES
