block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aic_mte1_active_bw(GB/s),aic_mte2_active_bw(GB/s),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146195.109375,263151199,88786.773438,0.607317,86447.109375,0.591313,4482.766602,0.030663,74.013908,706.074463,0.004830,18.844564,0.000000,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146235.843750,263224524,88793.117188,0.607191,86460.640625,0.591241,4509.454102,0.030837,73.575890,712.323914,0.004871,18.679234,0.000000,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146191.843750,263145332,88815.851562,0.607529,86484.218750,0.591580,4434.126465,0.030331,74.825806,706.336670,0.004832,18.837568,0.000000,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146233.953125,263221119,88831.734375,0.607463,86497.406250,0.591500,4450.617188,0.030435,74.548561,712.765564,0.004874,18.667658,0.000000,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146284.765625,263312588,88836.640625,0.607286,86500.875000,0.591318,4483.457031,0.030649,74.002518,732.001648,0.005004,18.177095,0.000000,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146316.859375,263370335,88824.664062,0.607071,86486.890625,0.591093,4537.203125,0.031009,73.125916,738.237244,0.005045,18.023560,0.000000,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146327.625000,263389713,88867.914062,0.607322,86527.226562,0.591325,4482.812012,0.030635,74.013168,731.967224,0.005002,18.177950,0.000000,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146373.265625,263471875,88869.804688,0.607145,86529.406250,0.591156,4521.422363,0.030890,73.381142,738.849976,0.005048,18.008614,0.000000,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146248.093750,263246575,88842.492188,0.607478,86511.562500,0.591540,4439.817871,0.030358,74.729889,712.064453,0.004869,18.686039,0.000000,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146229.984375,263213962,88823.859375,0.607426,86497.664062,0.591518,4449.364258,0.030427,74.569550,718.406128,0.004913,18.521091,0.000000,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146173.843750,263112928,88778.343750,0.607348,86441.796875,0.591363,4475.020996,0.030614,74.142021,703.996094,0.004816,18.900196,0.000000,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146168.484375,263103275,88767.273438,0.607294,86430.664062,0.591308,4492.592285,0.030736,73.852043,709.564453,0.004854,18.751875,0.000000,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146209.828125,263177698,88813.226562,0.607437,86470.828125,0.591416,4463.545898,0.030528,74.332634,702.078918,0.004802,18.951807,0.000000,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146228.078125,263210524,88820.078125,0.607408,86468.375000,0.591325,4471.345215,0.030578,74.202972,708.123352,0.004843,18.790037,0.000000,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146215.953125,263188727,88814.492188,0.607420,86482.312500,0.591470,4458.887695,0.030495,74.410286,707.605530,0.004839,18.803789,0.000000,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146195.859375,263152558,88803.117188,0.607426,86468.671875,0.591458,4456.674805,0.030484,74.447235,714.156128,0.004885,18.631310,0.000000,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.163333,2094,0.012778,0.010984,1.117222,0.960363,0.000556,0.000478,0.000000,0.000556,0.000478,0.000000,0.000000,NA,NA,
