block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146244.343750,263239823,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146262.859375,263273155,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146322.375000,263380282,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146319.000000,263374191,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146243.906250,263239020,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146246.781250,263244211,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146214.437500,263185979,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146222.937500,263201301,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146200.359375,263160639,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146217.781250,263192005,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146172.531250,263110545,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146217.046875,263190686,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146215.781250,263188418,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146238.968750,263230140,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146228.343750,263211029,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146292.125000,263325829,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.379444,2483,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.110556,1999,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.152222,2074,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.445556,2602,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.608333,2895,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.697778,3056,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.738889,3130,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.750556,3151,
