block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146220.437500,263196808,0.607084,0.337771,0.000270,0.000000,0.000000,0.268773,1147037568,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146250.468750,263250849,0.607099,0.337774,0.000270,0.000000,0.000000,0.268785,1147216896,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146187.890625,263138193,0.607074,0.337762,0.000270,0.000000,0.000000,0.268772,1147143552,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146214.453125,263186020,0.607130,0.337786,0.000270,0.000000,0.000000,0.268804,1147376256,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146189.203125,263140575,0.606981,0.337707,0.000270,0.000000,0.000000,0.268735,1147269888,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146204.359375,263167853,0.606972,0.337709,0.000270,0.000000,0.000000,0.268723,1147031040,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146216.468750,263189625,0.607041,0.337740,0.000270,0.000000,0.000000,0.268761,1147271424,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146224.437500,263203993,0.607009,0.337722,0.000270,0.000000,0.000000,0.268746,1147248768,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146238.984375,263230184,0.607492,0.337984,0.000270,0.000000,0.000000,0.268968,1147492992,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146233.937500,263221088,0.607279,0.337878,0.000270,0.000000,0.000000,0.268861,1147090944,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146193.281250,263147910,0.607564,0.338035,0.000270,0.000000,0.000000,0.268989,1147155072,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146227.531250,263209569,0.607429,0.337956,0.000270,0.000000,0.000000,0.268932,1147251072,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146212.656250,263182777,0.607658,0.338091,0.000270,0.000000,0.000000,0.269027,1147031040,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146242.671875,263236811,0.607391,0.337936,0.000270,0.000000,0.000000,0.268914,1147199616,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146238.250000,263228845,0.607648,0.338078,0.000270,0.000000,0.000000,0.269030,1147258368,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,146263.468750,263274248,0.607419,0.337948,0.000270,0.000000,0.000000,0.268930,1147323648,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.393889,2509,0.014747,0.000000,0.000000,0.000000,0.000000,0.014747,128,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.635556,2944,0.012568,0.000000,0.000000,0.000000,0.000000,0.012568,128,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.139444,2051,0.010239,0.000000,0.000000,0.000000,0.000000,0.010239,128,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.399444,2519,0.009528,0.000000,0.000000,0.000000,0.000000,0.009528,128,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.315556,2368,0.014780,0.000000,0.000000,0.000000,0.000000,0.014780,128,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.721667,3099,0.012585,0.000000,0.000000,0.000000,0.000000,0.012585,128,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.768333,3183,0.010996,0.000000,0.000000,0.000000,0.000000,0.010996,128,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.780556,3205,0.009984,0.000000,0.000000,0.000000,0.000000,0.009984,128,
