block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,cube0,1104.762817,1988573,0.047976,0.047976,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1104.224976,1987605,0.461557,0.264507,0.014249,0.000000,0.000000,0.168551,17351808,
1,cube0,1107.276123,1993097,0.047559,0.047559,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1106.802246,1992244,0.465104,0.266539,0.014359,0.000000,0.000000,0.169846,17351808,
2,cube0,1104.390503,1987903,0.046578,0.046578,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1103.796143,1986833,0.459150,0.263127,0.014175,0.000000,0.000000,0.167672,17351808,
3,cube0,1105.582764,1990049,0.047056,0.047056,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1105.037720,1989068,0.459623,0.263398,0.014190,0.000000,0.000000,0.167844,17351808,
4,cube0,1103.360596,1986049,0.047711,0.047711,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1102.719482,1984895,0.465937,0.267017,0.014384,0.000000,0.000000,0.170150,17351808,
5,cube0,1114.810059,2006658,0.048115,0.048115,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1114.286621,2005716,0.470170,0.269443,0.014515,0.000000,0.000000,0.171696,17351808,
6,cube0,1103.271118,1985888,0.047439,0.047439,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1102.630615,1984735,0.461818,0.264656,0.014257,0.000000,0.000000,0.168646,17351808,
7,cube0,1114.592163,2006266,0.048369,0.048369,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1114.057739,2005304,0.468603,0.268545,0.014467,0.000000,0.000000,0.171124,17351808,
8,cube0,1099.261719,1978671,0.047932,0.047932,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1098.561157,1977410,0.467761,0.268062,0.014441,0.000000,0.000000,0.170816,17351808,
9,cube0,1099.262817,1978673,0.047657,0.047657,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1098.617798,1977512,0.466313,0.267232,0.014396,0.000000,0.000000,0.170287,17351808,
10,cube0,1096.636108,1973945,0.047253,0.047253,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1096.088867,1972960,0.461881,0.264692,0.014259,0.000000,0.000000,0.168669,17351808,
11,cube0,1103.676636,1986618,0.047707,0.047707,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1103.100586,1985581,0.463908,0.265854,0.014322,0.000000,0.000000,0.169409,17351808,
12,cube0,1101.864502,1983356,0.047295,0.047295,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1101.349487,1982429,0.461603,0.264533,0.014250,0.000000,0.000000,0.168568,17351808,
13,cube0,1102.088379,1983759,0.046769,0.046769,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1101.599487,1982879,0.457143,0.261977,0.014113,0.000000,0.000000,0.166939,17351808,
14,cube0,1098.961670,1978131,0.047734,0.047734,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
