block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aic_mte1_active_bw(GB/s),aic_mte2_active_bw(GB/s),
0,cube0,1104.762817,1988573,53.589443,0.047976,1085.464478,0.971768,36.752777,0.032903,101.909447,0.091235,0.215556,0.000193,455.699036,136.298340,0.122022,53.736668,0.000371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1104.224976,1987605,515.558899,0.461557,320.460541,0.286894,282.195007,0.252637,51.043766,99.008888,0.088638,60.509537,0.000000,NA,NA,
1,cube0,1107.276123,1993097,53.123890,0.047559,1086.832764,0.972993,36.881668,0.033019,102.160004,0.091459,0.218333,0.000195,447.717316,134.811661,0.120691,54.329266,0.000361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1106.802246,1992244,519.521118,0.465104,321.595001,0.287910,281.086670,0.251644,51.245037,99.750557,0.089302,60.059635,0.000000,NA,NA,
2,cube0,1104.390503,1987903,52.027779,0.046578,1082.766724,0.969352,36.833889,0.032976,98.861115,0.088506,0.217778,0.000195,451.049042,131.149445,0.117412,55.846359,0.000312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1103.796143,1986833,512.870544,0.459150,317.806122,0.284518,291.552765,0.261014,49.405457,98.121666,0.087844,61.056671,0.000000,NA,NA,
3,cube0,1105.582764,1990049,52.561111,0.047056,1083.607788,0.970105,37.011665,0.033135,96.305557,0.086218,0.208889,0.000187,470.242615,128.753326,0.115267,56.885666,0.000311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1105.037720,1989068,513.398865,0.459623,317.782776,0.284497,289.539459,0.259212,49.748993,99.488335,0.089067,60.217937,0.000000,NA,NA,
4,cube0,1103.360596,1986049,53.292778,0.047711,1080.910034,0.967690,37.527222,0.033596,96.833885,0.086691,0.211667,0.000189,464.071411,130.281113,0.116635,56.218578,0.000308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1102.719482,1984895,520.451111,0.465937,326.187225,0.292021,280.038879,0.250706,51.436775,97.100555,0.086930,61.698738,0.000000,NA,NA,
5,cube0,1114.810059,2006658,53.744446,0.048115,1091.864502,0.977497,37.895557,0.033926,99.517776,0.089094,0.220000,0.000197,446.492981,133.318329,0.119354,54.937824,0.000296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1114.286621,2005716,525.179993,0.470170,327.190552,0.292919,281.866119,0.252342,51.103329,97.058891,0.086892,61.725227,0.000000,NA,NA,
6,cube0,1103.271118,1985888,52.988888,0.047439,1082.550049,0.969158,37.298889,0.033392,100.108887,0.089623,0.223333,0.000200,439.828888,133.823334,0.119806,54.730503,0.000352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1102.630615,1984735,515.850586,0.461818,318.171112,0.284844,280.627777,0.251233,51.328835,96.387779,0.086292,62.154999,0.000000,NA,NA,
7,cube0,1114.592163,2006266,54.027779,0.048369,1091.718872,0.977367,37.772778,0.033816,99.617226,0.089183,0.208889,0.000187,470.242615,134.229446,0.120170,54.564915,0.000315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1114.057739,2005304,523.429443,0.468603,324.380554,0.290403,289.445007,0.259127,49.765228,97.783333,0.087541,61.267929,0.000000,NA,NA,
8,cube0,1099.261719,1978671,53.540554,0.047932,1078.616699,0.965637,37.607224,0.033668,97.067780,0.086900,0.211111,0.000189,465.292694,131.268890,0.117519,55.795544,0.000367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1098.561157,1977410,522.488892,0.467761,323.799438,0.289883,276.176666,0.247249,52.156097,96.915001,0.086764,61.816872,0.000000,NA,NA,
9,cube0,1099.262817,1978673,53.233334,0.047657,1078.522827,0.965553,37.460556,0.033537,93.824997,0.083997,0.207778,0.000186,472.757294,128.296112,0.114858,57.088394,0.000366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1098.617798,1977512,520.871094,0.466313,324.625549,0.290623,277.154449,0.248124,51.972092,98.188889,0.087904,61.014870,0.000000,NA,NA,
10,cube0,1096.636108,1973945,52.781113,0.047253,1075.741699,0.963063,37.285000,0.033380,95.196114,0.085225,0.211111,0.000189,465.292694,129.219452,0.115684,56.680466,0.000357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1096.088867,1972960,515.920532,0.461881,322.783325,0.288973,277.347229,0.248297,51.935966,97.101669,0.086931,61.698032,0.000000,NA,NA,
11,cube0,1103.676636,1986618,53.288887,0.047707,1082.932739,0.969501,37.318333,0.033409,96.407776,0.086310,0.213889,0.000191,459.249908,130.741669,0.117047,56.020538,0.000361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1103.100586,1985581,518.184998,0.463908,325.282776,0.291211,277.150543,0.248120,51.972828,97.795555,0.087552,61.260269,0.000000,NA,NA,
12,cube0,1101.864502,1983356,52.828335,0.047295,1081.116089,0.967875,36.468334,0.032648,109.309998,0.097860,0.202778,0.000182,484.414307,145.519440,0.130277,50.331547,0.000360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1101.349487,1982429,515.610535,0.461603,318.986115,0.285574,272.928894,0.244341,52.776733,96.466110,0.086362,62.104527,0.000000,NA,NA,
13,cube0,1102.088379,1983759,52.241112,0.046769,1080.821167,0.967611,36.254444,0.032457,111.646111,0.099952,0.283333,0.000254,346.688660,146.341660,0.131013,50.048759,0.000354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1101.599487,1982879,510.628326,0.457143,317.716125,0.284437,274.846680,0.246058,52.408478,97.046112,0.086881,61.733356,0.000000,NA,NA,
14,cube0,1098.961670,1978131,53.318890,0.047734,1076.976685,0.964169,37.256668,0.033354,96.771111,0.086635,0.487778,0.000437,201.379517,132.822220,0.118910,55.143024,0.000346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1098.506104,1977311,517.918335,0.463669,320.926117,0.287311,279.294434,0.250040,51.573875,94.123337,0.084264,63.650341,0.000000,NA,NA,
15,cube0,1106.109985,1990998,53.222221,0.047647,1083.648926,0.970142,37.201111,0.033304,101.238335,0.090634,0.440000,0.000394,223.246490,137.380005,0.122990,53.313572,0.000347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1105.603882,1990087,519.767212,0.465324,321.659454,0.287967,278.394440,0.249234,51.740604,95.029442,0.085076,63.043430,0.000000,NA,NA,
