block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,cube0,1112.943848,2003299,8.715224,3.268209,34.860897,4.357612,6.536418,13.072837,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1112.437256,2002387,
1,cube0,1118.276123,2012897,8.715224,3.268209,34.860897,4.357612,6.536418,13.072837,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1117.747803,2011946,
2,cube0,1090.786621,1963416,8.715224,3.268209,34.860897,4.357612,6.536418,13.072837,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1090.335571,1962604,
3,cube0,1091.725586,1965106,8.715224,3.268209,34.860897,4.357612,6.536418,13.072837,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1091.281128,1964306,
4,cube0,1086.612183,1955902,8.715224,3.268209,34.860897,4.357612,6.536418,13.072837,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1086.203857,1955167,
5,cube0,1089.466675,1961040,8.715224,3.268209,34.860897,4.357612,6.536418,13.072837,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1088.958862,1960126,
6,cube0,1088.236084,1958825,8.715224,3.268209,34.860897,4.357612,6.536418,13.072837,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1087.704956,1957869,
7,cube0,1092.223877,1966003,8.715224,3.268209,34.860897,4.357612,6.536418,13.072837,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1091.269409,1964285,
8,cube0,1094.488892,1970080,8.715224,3.268209,34.860897,4.357612,6.536418,13.072837,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1093.939941,1969092,
9,cube0,1093.452759,1968215,8.715224,3.268209,34.860897,4.357612,6.536418,13.072837,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1092.962280,1967332,
10,cube0,1089.268921,1960684,8.715224,3.268209,34.860897,4.357612,6.536418,13.072837,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1088.672729,1959611,
11,cube0,1088.816162,1959869,8.715224,3.268209,34.860897,4.357612,6.536418,13.072837,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1088.164429,1958696,
12,cube0,1079.395020,1942911,8.715224,3.268209,34.860897,4.357612,6.536418,13.072837,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1078.814453,1941866,
13,cube0,1089.403931,1960927,8.715224,3.268209,34.860897,4.357612,6.536418,13.072837,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1088.827271,1959889,
14,cube0,1088.050049,1958490,8.715224,3.268209,34.860897,4.357612,6.536418,13.072837,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1087.440552,1957393,
15,cube0,1111.022217,1999840,8.715224,3.268209,34.860897,4.357612,6.536418,13.072837,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1110.426147,1998767,
16,cube0,17.200001,30960,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,15.990556,28783,
17,cube0,18.192778,32747,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,12.877778,23180,
18,cube0,19.796112,35633,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,14.120556,25417,
19,cube0,21.251667,38253,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,16.887222,30397,
20,cube0,20.802778,37445,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,16.105556,28990,
21,cube0,18.342777,33017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,15.250000,27450,
22,cube0,19.507223,35113,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,13.386666,24096,
23,cube0,20.653889,37177,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NA,NA,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,15.423333,27762,
