block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_mte3_active_bw(GB/s),aic_fixpipe_time(us),aic_fixpipe_ratio,aic_fixpipe_active_bw(GB/s),aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte2_active_bw(GB/s),aiv_mte3_time(us),aiv_mte3_ratio,aiv_mte3_active_bw(GB/s),aiv_icache_miss_rate,aic_mte1_active_bw(GB/s),aic_mte2_active_bw(GB/s),
0,cube0,1355.582275,2440048,52.528332,0.037817,1328.540039,0.956472,36.869999,0.026544,94.087776,0.067738,0.222778,0.000160,440.925720,128.352783,0.092407,57.063183,0.000258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1355.051636,2439093,627.876648,0.452035,423.413879,0.304834,287.411652,0.206920,50.117302,95.562775,0.068800,62.691586,0.000000,NA,NA,
1,cube0,1368.500610,2463301,53.418335,0.038458,1341.803345,0.966021,37.164444,0.026756,95.447220,0.068717,0.633889,0.000456,154.961624,130.334442,0.093833,56.195576,0.000293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1368.028320,2462451,629.597229,0.453274,426.234985,0.306865,290.243896,0.208959,49.628250,99.171112,0.071397,60.410557,0.000000,NA,NA,
2,cube0,1366.507202,2459713,53.298889,0.038372,1340.264404,0.964913,37.472778,0.026978,101.559998,0.073117,0.211667,0.000152,464.071411,135.218338,0.097349,54.165871,0.000279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1365.995605,2458792,639.315552,0.460270,433.576660,0.312150,277.406677,0.199717,51.924839,94.543892,0.068066,63.367203,0.000000,NA,NA,
3,cube0,1372.312256,2470162,53.186668,0.038291,1345.176636,0.968450,37.605556,0.027074,100.762222,0.072543,0.567778,0.000409,173.005112,133.423889,0.096058,54.894360,0.000263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1371.747803,2469146,640.798889,0.461338,437.026123,0.314634,279.250549,0.201044,51.581982,95.565002,0.068801,62.690125,0.000000,NA,NA,
4,cube0,1374.817261,2474671,53.799446,0.038733,1348.823364,0.971075,37.810001,0.027221,97.967781,0.070531,0.212222,0.000153,462.856628,131.742218,0.094847,55.595074,0.000289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1374.379395,2473883,643.629456,0.463376,440.730560,0.317301,277.756653,0.199969,51.859413,96.961113,0.069806,61.787468,0.000000,NA,NA,
5,cube0,1355.810059,2440458,52.887222,0.038076,1330.392212,0.957806,37.446110,0.026959,96.941109,0.069792,0.214444,0.000154,458.060150,130.384995,0.093870,56.173786,0.000317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1355.232178,2439418,632.671692,0.455487,428.111664,0.308216,278.628876,0.200597,51.697071,95.934998,0.069068,62.448353,0.000000,NA,NA,
6,cube0,1359.963867,2447935,52.744999,0.037973,1334.650024,0.960871,37.414444,0.026936,97.267220,0.070027,0.212222,0.000153,462.856628,131.062775,0.094358,55.883289,0.000325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1359.517212,2447131,632.507751,0.455369,428.672211,0.308619,278.726105,0.200667,51.679039,95.731667,0.068921,62.580986,0.000000,NA,NA,
7,cube0,1377.321167,2479178,53.607224,0.038594,1352.100586,0.973435,37.781666,0.027201,99.897224,0.071920,0.223333,0.000161,439.828888,134.629440,0.096925,54.402802,0.000311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1376.734985,2478123,639.028320,0.460064,437.106110,0.314691,281.252777,0.202486,51.214771,97.022224,0.069850,61.748558,0.000000,NA,NA,
8,cube0,1387.153320,2496876,54.838333,0.039480,1361.022827,0.979858,37.781113,0.027200,102.476669,0.073777,0.226111,0.000163,434.425598,137.546661,0.099026,53.248974,0.000309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1386.579468,2495843,644.342224,0.463889,441.036102,0.317521,282.821655,0.203615,50.930672,97.879448,0.070468,61.207764,0.000000,NA,NA,
9,cube0,1375.427246,2475769,53.688332,0.038653,1348.582275,0.970902,37.591110,0.027063,104.495552,0.075231,0.216111,0.000156,452.321106,137.729996,0.099158,53.178093,0.000277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1374.950562,2474911,641.682251,0.461974,435.356110,0.313431,278.906677,0.200797,51.645580,98.685555,0.071048,60.707794,0.000000,NA,NA,
