block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162656.375000,292781469,21378,6528,1365650,26091,1365366,26131,76.607178,98.123695,97.910103,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162705.953125,292870732,21377,6529,1365401,26096,1365616,26125,76.603600,98.123734,97.910103,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162656.156250,292781078,21378,6528,1365460,26101,1365557,26120,76.607178,98.123734,97.910133,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162710.421875,292878758,21378,6528,1365575,26102,1365442,26119,76.607178,98.123734,97.910133,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162696.531250,292853760,21378,6528,1365463,26158,1365554,26063,76.607178,98.123734,97.910133,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162776.140625,292997059,21378,6528,1365522,26095,1365495,26126,76.607178,98.123734,97.910133,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162724.109375,292903385,21378,6528,1365603,26080,1365414,26141,76.607178,98.123734,97.910133,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162834.234375,293101647,21377,6529,1365463,26092,1365553,26130,76.603600,98.123695,97.910065,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162685.109375,292833182,21378,6528,1365441,26145,1365576,26076,76.607178,98.123734,97.910133,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162716.890625,292890406,21378,6528,1365505,26147,1365512,26074,76.607178,98.123734,97.910133,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162691.406250,292844539,21378,6528,1365518,26101,1365499,26120,76.607178,98.123734,97.910133,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162718.296875,292892937,21378,6528,1365520,26099,1365497,26122,76.607178,98.123734,97.910133,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162702.859375,292865143,21378,6528,1365536,26080,1365481,26141,76.607178,98.123734,97.910133,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162733.015625,292919418,21378,6528,1365527,26095,1365490,26126,76.607178,98.123734,97.910133,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162693.671875,292848597,21377,6529,1365484,26111,1365533,26110,76.603600,98.123734,97.910103,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162712.203125,292881945,21378,6528,1365510,26133,1365507,26088,76.607178,98.123734,97.910133,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.020555,1837,2,0,3,0,2,1,100.000000,83.333336,87.500000,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.254444,2258,2,0,2,1,3,0,100.000000,83.333336,87.500000,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.979444,1763,2,0,4,0,1,1,100.000000,83.333336,87.500000,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.646111,2963,2,0,1,1,3,1,100.000000,66.666664,75.000000,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.059444,1907,2,0,1,1,4,0,100.000000,83.333336,87.500000,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.463333,2634,2,0,4,0,1,1,100.000000,83.333336,87.500000,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.515556,2728,2,0,5,1,0,0,100.000000,83.333336,87.500000,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.534444,2762,2,0,0,0,5,1,100.000000,83.333336,87.500000,
