block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,146244.343750,263239823,29.179512,16.655033,0.267626,0.267626,
1,vector0,NA,NA,146262.859375,263273155,29.184481,16.658699,0.267592,0.267592,
2,vector0,NA,NA,146322.375000,263380282,29.174585,16.653242,0.267483,0.267483,
3,vector0,NA,NA,146319.000000,263374191,29.169483,16.649775,0.267489,0.267489,
4,vector0,NA,NA,146243.906250,263239020,29.184135,16.658108,0.267627,0.267627,
5,vector0,NA,NA,146246.781250,263244211,29.187004,16.660076,0.267622,0.267622,
6,vector0,NA,NA,146214.437500,263185979,29.186028,16.658802,0.267681,0.267681,
7,vector0,NA,NA,146222.937500,263201301,29.194120,16.664364,0.267665,0.267665,
8,vector0,NA,NA,146200.359375,263160639,29.194607,16.664257,0.267707,0.267707,
9,vector0,NA,NA,146217.781250,263192005,29.182600,16.656584,0.267675,0.267675,
10,vector0,NA,NA,146172.531250,263110545,29.196733,16.665138,0.267758,0.267758,
11,vector0,NA,NA,146217.046875,263190686,29.187521,16.659849,0.267676,0.267676,
12,vector0,NA,NA,146215.781250,263188418,29.193888,16.664070,0.267678,0.267678,
13,vector0,NA,NA,146238.968750,263230140,29.179125,16.654671,0.267636,0.267636,
14,vector0,NA,NA,146228.343750,263211029,29.184483,16.658041,0.267655,0.267655,
15,vector0,NA,NA,146292.125000,263325829,29.176922,16.654221,0.267539,0.267539,
16,vector0,NA,NA,1.379444,2483,0.000000,0.000000,0.000000,0.000000,
17,vector0,NA,NA,1.110556,1999,0.000000,0.000000,0.000000,0.000000,
18,vector0,NA,NA,1.152222,2074,0.000000,0.000000,0.000000,0.000000,
19,vector0,NA,NA,1.445556,2602,0.000000,0.000000,0.000000,0.000000,
20,vector0,NA,NA,1.608333,2895,0.000000,0.000000,0.000000,0.000000,
21,vector0,NA,NA,1.697778,3056,0.000000,0.000000,0.000000,0.000000,
22,vector0,NA,NA,1.738889,3130,0.000000,0.000000,0.000000,0.000000,
23,vector0,NA,NA,1.750556,3151,0.000000,0.000000,0.000000,0.000000,
