block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146220.437500,263196808,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146250.468750,263250849,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146187.890625,263138193,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146214.453125,263186020,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146189.203125,263140575,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146204.359375,263167853,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146216.468750,263189625,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146224.437500,263203993,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146238.984375,263230184,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146233.937500,263221088,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146193.281250,263147910,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146227.531250,263209569,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146212.656250,263182777,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146242.671875,263236811,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146238.250000,263228845,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,146263.468750,263274248,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.393889,2509,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.635556,2944,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.139444,2051,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.399444,2519,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.315556,2368,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.721667,3099,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.768333,3183,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1.780556,3205,
