block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,146220.437500,263196808,29.183977,16.657551,0.267670,0.267670,
1,vector0,NA,NA,146250.468750,263250849,29.182552,16.657177,0.267615,0.267615,
2,vector0,NA,NA,146187.890625,263138193,29.193178,16.663063,0.267729,0.267729,
3,vector0,NA,NA,146214.453125,263186020,29.193800,16.663986,0.267681,0.267681,
4,vector0,NA,NA,146189.203125,263140575,29.196131,16.665060,0.267727,0.267727,
5,vector0,NA,NA,146204.359375,263167853,29.187019,16.659275,0.267699,0.267699,
6,vector0,NA,NA,146216.468750,263189625,29.190727,16.661976,0.267677,0.267677,
7,vector0,NA,NA,146224.437500,263203993,29.188559,16.660685,0.267662,0.267662,
8,vector0,NA,NA,146238.984375,263230184,29.191877,16.663176,0.267636,0.267636,
9,vector0,NA,NA,146233.937500,263221088,29.182640,16.656921,0.267645,0.267645,
10,vector0,NA,NA,146193.281250,263147910,29.192392,16.662643,0.267720,0.267720,
11,vector0,NA,NA,146227.531250,263209569,29.188002,16.660370,0.267657,0.267657,
12,vector0,NA,NA,146212.656250,263182777,29.185364,16.658329,0.267684,0.267684,
13,vector0,NA,NA,146242.671875,263236811,29.183668,16.657774,0.267629,0.267629,
14,vector0,NA,NA,146238.250000,263228845,29.186047,16.659275,0.267637,0.267637,
15,vector0,NA,NA,146263.468750,263274248,29.182680,16.657511,0.267591,0.267591,
16,vector0,NA,NA,1.393889,2509,0.000000,0.000000,0.000000,0.000000,
17,vector0,NA,NA,1.635556,2944,0.000000,0.000000,0.000000,0.000000,
18,vector0,NA,NA,1.139444,2051,0.000000,0.000000,0.000000,0.000000,
19,vector0,NA,NA,1.399444,2519,0.000000,0.000000,0.000000,0.000000,
20,vector0,NA,NA,1.315556,2368,0.000000,0.000000,0.000000,0.000000,
21,vector0,NA,NA,1.721667,3099,0.000000,0.000000,0.000000,0.000000,
22,vector0,NA,NA,1.768333,3183,0.000000,0.000000,0.000000,0.000000,
23,vector0,NA,NA,1.780556,3205,0.000000,0.000000,0.000000,0.000000,
